run_index,sample,linker_length,linker_conc,temperature,meansize,msd,1/eta,cbeta,beta,norm_1/eta,norm_cbeta,norm_beta,pc1,pc2,pc3
3,21,10,1,20,8.035384801,1.749889671,0.25977301559495836,0.078684866,0.22426619953805024,1.7181907558726908,-1.496311606,2.4999493452219026,3.2806578617878523,0.7943765034755917,-0.217081989
3,21,10,1,25,8.035384801,1.749889671,0.47683614964782317,0.046339715,0.1996280240567967,2.079367094135789,-2.122146604,2.072793709702687,3.6201554929188946,0.031516653489570924,-0.13125696
3,22,10,10,20,11.49529302,1.445361706,0.006987982,0.34806173215902086,0.064671859,-0.431876762,0.26130410137028437,-0.266960971,-0.558468874,0.00745207,-0.118838184
3,22,10,10,25,11.49529302,1.445361706,0.00635939,0.2693337729622102,0.063325402,-0.487929151,-0.041805645,-0.290304691,-0.431764405,-0.19360084,-0.316540037
3,22,10,10,30,11.49529302,1.445361706,0.011035615,0.2307120634179818,0.06656502,-0.160154555,-0.224763555,-0.234138969,-0.097917899,-0.30266616,-0.172610761
3,22,10,10,35,11.49529302,1.445361706,0.012231183019420328,0.2037579791966481,0.064045246,-0.098987165,-0.37161781,-0.277824657,-0.001138524,-0.435300474,-0.188671663
3,32,15,10,20,7.273544376,1.619257015,0.006903912,0.3076274458596806,0.031970716,-0.439074326,0.11533300461978811,-0.833905458,-0.793667304,-0.520510468,-0.025442923
3,32,15,10,25,7.273544376,1.619257015,0.009219803,0.23437681682086778,0.038387301109534686,-0.267059274,-0.206134901,-0.72266018,-0.444066708,-0.655621896,-0.094945652
3,32,15,10,30,7.273544376,1.619257015,0.007565348,0.20226337284073875,0.047841429,-0.384668624,-0.380320302,-0.558752592,-0.324497115,-0.624415193,-0.331097011
3,32,15,10,35,7.273544376,1.619257015,0.011219836760295998,0.1811879041858859,0.043322899043362395,-0.15030961,-0.510387752,-0.637091,-0.151938808,-0.793375461,-0.190901953
3,33,15,100,20,6.873835558,1.736502592,0.000405006,5.061892549360834,0.011635780974936396,-2.125498778,3.4257731708462615,-1.186455179,-3.902703003,1.4730029233131983,0.5104061353059091
3,33,15,100,25,6.873835558,1.736502592,0.001512125,3.4766925762116463,0.054760461,-1.342110461,2.981727654674104,-0.438796326,-2.760744228,1.6814868966812617,0.6598451633542891
3,33,15,100,30,6.873835558,1.736502592,0.002345173,1.3140540621231203,0.084988477,-1.081147463,1.831640838039382,0.085271189,-1.654169023,1.3365009834426704,0.092461546
3,33,15,100,35,6.873835558,1.736502592,0.1159679134291817,0.18959650016046237,0.28210882465464066,1.2385994993616458,-0.456766102,3.502775358478296,2.9520713475187716,2.2739168806218983,-0.356056151
